,driverID,race,qualipos,racepos
1832,hulkenberg,2,7,6
1834,kevin_magnussen,2,8,11
1835,kobayashi,2,20,18
1836,kvyat,2,11,20
1837,maldonado,2,17,19
1838,massa,2,13,2
1839,perez,2,14,7
1840,raikkonen,2,6,10
1841,ricciardo,2,5,4
1842,rosberg,2,3,14
1843,sutil,2,18,16
1844,vergne,2,9,12
1845,vettel,2,2,8
1846,alonso,3,10,9
1847,bottas,3,4,3
1848,button,3,7,5
1851,grosjean,3,16,13
1852,gutierrez,3,15,15
1853,hamilton,3,2,1
1854,hulkenberg,3,12,6
1856,kevin_magnussen,3,9,11
1857,kobayashi,3,19,18
1858,kvyat,3,13,20
1859,maldonado,3,17,19
1860,massa,3,8,2
1861,perez,3,5,7
1862,raikkonen,3,6,10
1863,ricciardo,3,3,4
1864,rosberg,3,1,14
1865,sutil,3,18,16
1866,vergne,3,14,12
1867,vettel,3,11,8
1868,alonso,4,5,9
1869,bottas,4,7,3
1870,button,4,12,5
1873,grosjean,4,10,13
1874,gutierrez,4,17,15
1875,hamilton,4,1,1
1876,hulkenberg,4,8,6
1878,kevin_magnussen,4,15,11
1879,kobayashi,4,18,18
1880,kvyat,4,13,20
1881,maldonado,4,22,19
1882,massa,4,6,2
1883,perez,4,16,7
1884,raikkonen,4,11,10
1885,ricciardo,4,2,4
1886,rosberg,4,4,14
1887,sutil,4,14,16
1888,vergne,4,9,12
1889,vettel,4,3,8
1890,alonso,5,7,9
1891,bottas,5,4,3
1892,button,5,8,5
1895,grosjean,5,5,13
1896,gutierrez,5,14,15
1897,hamilton,5,1,1
1898,hulkenberg,5,11,6
1900,kevin_magnussen,5,15,11
1901,kobayashi,5,21,18
1902,kvyat,5,13,20
1903,maldonado,5,22,19
1904,massa,5,9,2
1905,perez,5,12,7
1906,raikkonen,5,6,10
1907,ricciardo,5,3,4
1908,rosberg,5,2,14
1909,sutil,5,17,16
1910,vergne,5,16,12
1911,vettel,5,10,8
1912,alonso,6,5,9
